"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","61/1040","152/6102",0.401315789473684,2.35464321862348,7.66556816842408,7.22344438255231e-12,2.52820553389331e-09,2.52820553389331e-09,"10344/6355/3569/4982/11009/6372/4803/3574/2657/3454/6348/650/2919/27242/53833/4804/1440/3625/943/8995/392255/3554/3557/3589/60401/9547/9518/50615/658/2921/6347/3575/3601/6376/285613/6374/268/7292/8793/90865/6387/2920/6354/3976/8740/8200/654/355/26525/1435/970/1489/23529/3590/27177/9173/7133/23765/3572/3592/3598",61
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","44/1040","124/6102",0.354838709677419,2.08194789081886,5.51690294242125,4.51715701072483e-07,7.90502476876844e-05,7.90502476876844e-05,"529/9551/537/1340/4537/4726/4700/4701/4519/51382/29796/1351/4508/4512/527/4728/6391/27089/4539/4717/522/4535/535/4514/4538/8992/9550/64077/4541/4696/4713/4709/9114/533/4708/516/4540/126328/4513/4536/51079/4509/4695/518",44
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","21/1040","44/6102",0.477272727272727,2.80030594405594,5.43205465368704,2.28141057908083e-06,0.00026616456755943,0.00026616456755943,"10344/6355/3569/11009/6372/6348/2919/53833/9547/2921/6347/6376/6374/8793/6387/2920/6354/8740/1435/7133/3572",21
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","26/1040","63/6102",0.412698412698413,2.42142857142857,5.14006856693183,4.49950372237693e-06,0.000393706575707981,0.000393706575707981,"529/7099/3569/3725/6372/284/537/6348/1513/2919/51382/3589/2921/6347/527/6374/535/8992/6387/2920/9550/9114/1435/533/4314/3115",26
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","23/1040","55/6102",0.418181818181818,2.4536013986014,4.90809323808944,1.22920753199373e-05,0.000860445272395614,0.000860445272395614,"8338/8970/8370/440686/8363/2903/8339/6634/8365/81/718/55766/8357/8349/8344/8353/128312/8334/3012/55506/3017/3115/554313",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","73/1040","276/6102",0.264492753623188,1.55186036789298,4.25260082151697,3.80486632581165e-05,0.00221950535672346,0.00221950535672346,"56142/56123/7976/5098/56114/27253/26999/56121/56145/56112/56127/56129/56141/56109/57717/56104/56102/8321/5600/56108/6324/56101/1002/56106/79633/5159/8641/120114/56133/10297/5099/9620/5101/1000/5606/26025/57526/81/6932/55845/7529/56111/56103/1008/56100/10093/3884/56110/23286/166336/56125/2535/2195/55800/65217/56122/8325/2324/56113/55851/60/56126/51294/1009/26167/56107/7474/3858/4430/54510/3868/1003/3265",73
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","32/1040","99/6102",0.323232323232323,1.8965034965035,4.07606898035662,0.00013451215492389,0.00672560774619448,0.00672560774619448,"139065/22854/1525/5010/26050/3696/9672/9369/1002/8174/57863/1462/4685/22871/4684/1000/137075/9076/6402/102723996/25945/5818/257194/6382/23114/3134/214/23705/4756/7122/3115/1003",32
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","57/1040","214/6102",0.266355140186916,1.56278756290439,3.79860022035417,0.000220242508905871,0.00963560976463184,0.00963560976463184,"10891/9551/2182/284184/84335/1340/114/4537/4726/4700/4701/5600/4519/90993/4879/57521/29796/1351/4508/5606/8193/126129/4881/4512/107/4728/6391/27089/4539/4717/522/4535/25915/4514/4538/1374/788/116228/4541/28958/4696/4713/5592/4709/60/4708/516/4540/51287/126328/4513/4536/51079/4509/3265/4695/518",57
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","59/1040","229/6102",0.25764192139738,1.51166442727578,3.57708349005675,0.00044513178805151,0.0173106806464476,0.0173106806464476,"3569/10376/10383/1340/5621/4537/10105/4726/4700/4701/1460/5600/4519/90993/1535/857/2903/5691/5690/29796/1351/4508/4685/1388/4684/775/5707/4512/1649/4728/6391/27089/5694/4539/7280/4717/522/4535/4514/4538/4541/4696/79861/4713/4709/5705/4708/516/4540/126328/4513/4536/51079/4509/581/2534/5702/4695/518",59
